act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 1 (585),ensemble_585,90,2,2.0,0.7320261299610138,0.72875816,1323.0,381.5,False,56.717504317883765,-127.10335731956748,,-1,,
Act 1 (585),ensemble_585,227,2,2.0,0.7320261299610138,0.7058824,2045.5,650.0,False,51.39193326658443,-119.74064556744504,,-1,,
Act 1 (585),ensemble_585,320,2,2.0,0.7303921580314636,0.7058824,2272.5,925.0,False,50.02770831533219,-114.98618497917933,,-1,,
Act 1 (585),ensemble_585,189,2,2.0,0.7303921282291412,0.70261437,1982.0,623.5,False,51.86093082811725,-120.37159135632079,,-1,,
Act 1 (585),ensemble_585,100,2,2.0,0.7287581861019135,0.71568626,1339.5,378.5,False,56.57231750502547,-127.0619928774423,,-1,,
Act 1 (585),ensemble_585,469,2,2.0,0.7287581861019135,0.72222227,2837.5,885.0,False,45.25890898566051,-113.99461191447128,,-1,,
Act 1 (585),ensemble_585,454,2,2.0,0.7271241843700409,0.7124183,2811.5,841.5,False,45.40416594548841,-114.64129571537185,,-1,,
Act 1 (585),ensemble_585,471,2,2.0,0.7271241843700409,0.71895427,2842.5,876.0,False,45.2029451808798,-114.10145135854934,,-1,,
Act 1 (585),ensemble_585,151,2,2.0,0.7254902124404907,0.71895427,1452.5,324.0,False,55.48608550641787,-127.3109178531567,,-1,,
Act 1 (585),ensemble_585,428,2,2.0,0.7254902124404907,0.7091503,2777.5,889.5,False,45.76480168247258,-114.0889037532308,,-1,,
Act 1 (585),ensemble_585,497,2,2.0,0.7238562107086182,0.7156863,3273.5,1053.5,False,41.869966792633946,-110.81994368947466,,-1,,
Act 1 (585),ensemble_585,421,2,2.0,0.7238561809062958,0.71241826,2773.5,912.5,False,45.83468821402169,-113.79038731515386,,-1,,
Act 1 (585),ensemble_585,175,2,2.0,0.722222238779068,0.7058824,1927.5,861.0,False,52.79816892029163,-117.02351757084126,,-1,,
Act 1 (585),ensemble_585,147,2,2.0,0.7222222089767456,0.71568626,1439.5,324.5,False,55.59444182667457,-127.37221428018832,,-1,,
Act 1 (585),ensemble_585,368,2,2.0,0.7222222089767456,0.70261437,2486.5,902.0,False,48.205330207269284,-114.70063516472165,,-1,,
Act 1 (585),ensemble_585,461,2,2.0,0.7222222089767456,0.7091503,2820.5,932.0,False,45.47414115189696,-113.41073434174044,,-1,,
Act 1 (585),ensemble_585,215,2,2.0,0.7205882668495178,0.71895427,2021.0,868.5,False,52.029330913630446,-116.59734356537332,,-1,,
Act 1 (585),ensemble_585,363,2,2.0,0.7205882668495178,0.7091504,2458.5,896.0,False,48.428376262627204,-114.86336084305529,,-1,,
Act 1 (585),ensemble_585,87,2,2.0,0.7205882370471954,0.7091503,1312.0,297.5,False,56.56640488646277,-128.4903284197237,,-1,,
Act 1 (585),ensemble_585,176,2,2.0,0.7205882370471954,0.7124183,1945.0,751.5,False,52.43745485123894,-118.60961804851445,,-1,,
Act 1 (585),ensemble_585,439,2,2.0,0.7189542651176453,0.7091504,2790.5,576.0,False,45.09727057515194,-118.2149728644517,,-1,,
Act 1 (585),ensemble_585,112,2,2.0,0.7173202931880951,0.7091503,1349.0,340.5,False,56.38589842594803,-127.60968664931215,,-1,,
Act 1 (585),ensemble_585,76,2,2.0,0.7156862914562225,0.7124183,1280.0,328.5,False,56.92135175956984,-128.18016724132943,,-1,,
Act 1 (585),ensemble_585,262,2,2.0,0.7156862914562225,0.7058823,2169.5,895.0,False,50.835911407734514,-115.73198728777206,,-1,,
Act 1 (585),ensemble_585,487,2,2.0,0.7156862914562225,0.7124183,2956.5,862.5,False,44.234159901762744,-113.98985567927073,,-1,,
Act 1 (585),ensemble_585,22,2,2.0,0.7140523195266724,0.70261437,976.5,231.0,False,59.13247279963995,-131.57728235059,,-1,,
Act 1 (585),ensemble_585,275,2,2.0,0.71405228972435,0.7091503,2199.5,665.5,False,50.149427135038195,-118.95562926749827,,-1,,
Act 1 (585),ensemble_585,357,2,2.0,0.71405228972435,0.7058823,2356.0,840.5,False,49.1853221014546,-115.94643368132736,,-1,,
Act 1 (585),ensemble_585,337,2,2.0,0.7124182879924774,0.7058823,2297.5,913.0,False,49.79868525163304,-115.0857233245657,,-1,,
Act 1 (585),ensemble_585,42,2,2.0,0.7107843458652496,0.7058824,1145.0,258.5,False,57.82606232030326,-130.0809597673708,,-1,,
Act 1 (585),ensemble_585,288,2,2.0,0.7107843458652496,0.7058824,2224.5,938.0,False,50.45068472475409,-114.93882352284432,,-1,,
Act 1 (585),ensemble_585,184,2,2.0,0.7107843160629272,0.70261437,1968.5,892.0,False,52.512236198778346,-116.41795150355016,,-1,,
