number,name,act,n_components,driving_label,driving,area_km2,mean_guarded_F,min_guarded_F,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_representativeness,pct_intactness,efg_classes_present,driver_m_soc theta-tail,driver_connectivity spike (top 0.2%),driver_refugia densest (area-matched to the m_soc tail),driver_rare-attainable EFG footprint,driver_rarest-EFG footprint (<= 1% of PU each),mean_lat,pct_within_5km_of_PA,pct_in_NFZ,pct_in_SRP_area,pct_private_ranchland,pct_crown,n_formulations_frequent
11,S of Oh Ranch (50.3°N 114.2°W),Act 2,1,Biodiversity-forward,s3,133.0,0.6360509395599365,0.4019608199596405,0.6616092920303345,0.7441945672035217,0.17273247241973877,0.1344895362854004,0.9923383593559265,0.2700662314891815,12,0.0,0.0,0.0,100.0,0.0,50.2921028137207,8.270676691729323,0.0,0.0,57.89473684210527,42.10526315789473,5
13,E of Upper Smoky SRP planning area (54.7°N 118.5°W),Act 2,5,Carbon-forward,s4,116.0,0.5012395977973938,0.33986929059028625,0.1030345931649208,0.46097126603126526,0.6009640097618103,0.5105307102203369,0.8923582434654236,0.36834433674812317,9,0.0,0.0,0.0,100.0,0.0,54.70132827758789,0.0,0.0,54.310344827586206,0.0,100.0,1
,Upper Smoky SRP planning area vicinity (54.9°N 119.9°W),Act 2,2,Carbon-forward,s4,89.0,0.5425020456314087,0.4035947322845459,0.03491969406604767,0.6356275081634521,0.5166192650794983,0.6252164244651794,0.9533835649490356,0.4667205512523651,11,0.0,0.0,0.0,100.0,0.0,54.886966705322266,0.0,0.0,100.0,0.0,100.0,1
8,SE of White Goat (52.1°N 116.7°W),Act 2,1,Core-habitat-forward,s1,51.0,0.5094194412231445,0.18300653994083405,0.9975058436393738,0.8017494082450867,0.6666449904441833,0.6429114937782288,0.9595068097114563,0.9114291667938232,9,5.88235294117647,0.0,84.31372549019608,100.0,0.0,52.132808685302734,92.15686274509804,0.0,0.0,0.0,100.0,2
,NE of Oh Ranch (50.6°N 114.3°W),Act 2,1,Core-habitat-forward,s1,22.0,0.6331700086593628,0.3284313678741455,0.6348790526390076,0.6538802981376648,0.17219625413417816,0.14656248688697815,0.9917052984237671,0.1615954041481018,12,0.0,0.0,0.0,100.0,0.0,50.603946685791016,72.72727272727273,0.0,0.0,100.0,0.0,5
10,Upper Smoky SRP planning area vicinity (54.9°N 120.0°W),Act 2,1,Connectivity-forward,s2,16.0,0.5515727400779724,0.40522873401641846,0.015834659337997437,0.7504094839096069,0.5807970762252808,0.7079552412033081,0.9599595665931702,0.6072660684585571,9,0.0,0.0,0.0,100.0,0.0,54.88771438598633,0.0,0.0,100.0,0.0,100.0,0
,E of White Goat (52.3°N 116.4°W),Act 2,1,Connectivity-forward,s2,14.0,0.5808824300765991,0.48366013169288635,0.9316142797470093,0.7406110763549805,0.5904531478881836,0.6922764182090759,0.7142257690429688,0.8683505058288574,9,7.142857142857142,100.0,0.0,100.0,0.0,52.263648986816406,42.857142857142854,0.0,0.0,0.0,100.0,2
,N of Upper Smoky SRP planning area (55.3°N 120.0°W),Act 2,1,Carbon-forward,s4,14.0,0.5520541667938232,0.4673202931880951,0.0025904274079948664,0.5913547277450562,0.3536052703857422,0.45610183477401733,0.9753603339195251,0.3090856373310089,10,0.0,0.0,0.0,100.0,0.0,55.3173942565918,0.0,0.0,0.0,0.0,78.57142857142857,2
,SE of Jasper National Park Of Canada (52.4°N 117.0°W),Act 2,1,Core-habitat-forward,s1,13.0,0.5248869061470032,0.46568629145622253,0.9981657266616821,0.9146836400032043,0.7813140153884888,0.5828624367713928,0.9673823118209839,0.9492863416671753,10,0.0,0.0,100.0,100.0,0.0,52.39384078979492,100.0,0.0,0.0,0.0,84.61538461538461,2
,N of Upper Smoky SRP planning area (55.0°N 119.4°W),Act 2,1,Carbon-forward,s4,13.0,0.4675716757774353,0.44117650389671326,0.04766293987631798,0.39519745111465454,0.4195767045021057,0.9668233394622803,0.8167807459831238,0.49534714221954346,6,0.0,0.0,0.0,100.0,0.0,54.951595306396484,0.0,0.0,7.6923076923076925,0.0,15.384615384615385,2
,SE of Whitehorse Wildland (52.9°N 117.2°W),Act 2,1,Connectivity-forward,s2,12.0,0.5607298612594604,0.4526143968105316,0.9464888572692871,0.9837183952331543,0.7190107703208923,0.5936258435249329,0.9353711009025574,0.8615416884422302,8,0.0,33.33333333333333,0.0,100.0,0.0,52.868621826171875,100.0,0.0,0.0,0.0,100.0,2
