act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 2,s4,65,8,8.0,0.8161764889955521,0.7058824,1998.75,883.0,False,52.24226350061868,-116.45366210437719,,-1,62.5,3.0
Act 2,s4,16,8,8.0,0.7450980618596077,0.7254902,1657.75,761.875,False,54.86230406581023,-119.54224668074708,,-1,0.0,8.0
Act 2,s4,85,8,8.0,0.7169117778539658,0.7058824,2215.5,980.625,False,50.59700172155126,-114.34364559651175,,-1,37.5,5.0
Act 2,s4,102,8,8.0,0.6911764889955521,0.4901961,2267.75,982.0,False,50.16198751955346,-114.17537886697191,,-1,62.5,3.0
Act 2,s4,118,7,7.0,1.0,1.0,2313.0,1017.0,False,49.83918666200383,-113.5445057476552,,-1,100.0,0.0
Act 2,s4,49,6,6.0,1.0,1.0,1795.5,713.6666666666666,False,53.6059000370363,-119.74497766979184,,-1,100.0,0.0
Act 2,s4,117,6,6.0,1.0,1.0,2312.5,1012.1666666666666,False,49.83578257355019,-113.61558288574604,,-1,100.0,0.0
Act 2,s4,120,6,6.0,1.0,1.0,2320.5,937.5,False,49.64801121298217,-114.66732672592197,,-1,100.0,0.0
Act 2,s4,86,6,6.0,0.7385621269543966,0.5882353,2215.8333333333335,986.1666666666666,False,50.60328184573917,-114.26174669560247,,-1,33.333333333333336,4.0
Act 2,s4,25,6,6.0,0.7091503441333771,0.64705884,1669.3333333333333,773.1666666666666,False,54.788917180518816,-119.31994939371036,,-1,0.0,6.0
Act 2,s4,44,6,6.0,0.6830065548419952,0.60784316,1700.0,838.3333333333334,False,54.6650789056119,-118.1836230627077,,-1,0.0,6.0
Act 2,s4,45,5,5.0,1.0,1.0,1777.0,707.8,False,53.74778952923921,-119.90716759674307,,-1,100.0,0.0
Act 2,s4,50,5,5.0,1.0,1.0,1798.8,703.8,False,53.55722306171295,-119.88252273290989,,-1,100.0,0.0
Act 2,s4,104,5,5.0,0.7313725709915161,0.54901963,2273.4,988.6,False,50.12540341751013,-114.06389815748341,,-1,40.0,3.0
Act 2,s4,55,4,4.0,1.0,1.0,1833.0,729.25,False,53.3258416430932,-119.36284849564291,,-1,100.0,0.0
Act 2,s4,63,4,4.0,1.0,1.0,1951.5,774.0,False,52.42849037170549,-118.24926957894533,,-1,100.0,0.0
Act 2,s4,99,4,4.0,1.0,1.0,2250.0,946.5,False,50.251867561956054,-114.74078089239487,,-1,100.0,0.0
Act 2,s4,66,4,4.0,0.7254902273416519,0.7058824,2004.75,856.5,False,52.14297404899685,-116.83048885329326,,-1,75.0,1.0
Act 2,s4,39,4,4.0,0.7181372791528702,0.7058824,1686.75,818.25,False,54.73599502819214,-118.5476331891508,,-1,0.0,4.0
Act 2,s4,106,4,4.0,0.6911765038967133,0.5196079,2273.75,978.5,False,50.106111305728106,-114.20919240418147,,-1,75.0,1.0
Act 2,s4,23,4,4.0,0.6323529481887817,0.5,1668.5,757.0,False,54.76162621329388,-119.57580369356599,,-1,0.0,4.0
Act 2,s4,47,3,3.0,1.0,1.0,1789.0,714.6666666666666,False,53.66231028158619,-119.75510601874755,,-1,100.0,0.0
