fid,country,MappingUnit,name,label_state,ne_state,state_label_ok,name_collision,n_groups,area_km2,in_y2y_km2,frac_in_y2y,n_parts
74,USA,Meagher County_Montana,Meagher County,Montana,Montana,True,False,,6185.66,6185.66,1.0,1
75,USA,Mineral County_Montana,Mineral County,Montana,Montana,True,False,2.0,3168.7,3168.7,1.0,1
76,USA,Missoula County_Montana,Missoula County,Montana,Montana,True,False,4.0,6780.44,6780.44,1.0,1
77,USA,Park County_Montana,Park County,Montana,Montana,True,True,2.0,7286.24,7286.24,1.0,1
78,USA,Pondera County_Montana,Pondera County,Montana,Montana,True,False,1.0,1162.54,1162.54,1.0,1
79,USA,Powell County_Montana,Powell County,Montana,Montana,True,False,2.0,6040.65,6040.65,1.0,1
80,USA,Ravalli County_Idaho,Ravalli County,Idaho,Montana,False,False,,6216.85,6216.85,1.0,1
81,USA,Sanders County_Idaho,Sanders County,Idaho,Montana,False,False,,7225.79,7225.79,1.0,1
82,USA,Silver Bow County_Montana,Silver Bow County,Montana,Montana,True,False,,1861.08,1861.08,1.0,1
83,USA,Stillwater County_Montana,Stillwater County,Montana,Montana,True,False,,1506.7,1506.7,1.0,1
84,USA,Sweet Grass County_Montana,Sweet Grass County,Montana,Montana,True,False,,3069.38,3069.33,0.99999,1
85,USA,Teton County_Montana,Teton County,Montana,Montana,True,False,2.0,3049.51,3049.48,0.99999,1
86,USA,Wheatland County_Montana,Wheatland County,Montana,Montana,True,False,,2024.93,2024.9,0.99999,1
87,USA,Baker County_Idaho,Baker County,Idaho,Oregon,False,False,,4839.8,4839.76,0.99999,1
88,USA,Grant County_Oregon,Grant County,Oregon,Oregon,True,False,,24.72,24.71,0.9999,3
89,USA,Malheur County_Idaho,Malheur County,Idaho,Oregon,False,False,,490.84,490.84,1.0,1
90,USA,Umatilla County_Oregon,Umatilla County,Oregon,Oregon,True,False,,1327.59,1327.59,1.0,2
91,USA,Union County_Oregon,Union County,Oregon,Oregon,True,False,,4772.7,4772.69,1.0,1
92,USA,Wallowa County_Idaho,Wallowa County,Idaho,Oregon,False,False,,8162.04,8162.04,1.0,1
93,USA,Asotin County_Idaho,Asotin County,Idaho,Washington,False,False,,1564.63,1564.63,1.0,1
94,USA,Columbia County_Oregon,Columbia County,Oregon,Washington,False,False,,970.43,970.43,1.0,1
95,USA,Ferry County_Washington,Ferry County,Washington,Washington,True,False,,289.96,289.96,1.0,1
96,USA,Garfield County_Oregon,Garfield County,Oregon,Washington,False,False,,586.59,586.59,1.0,1
97,USA,Pend Oreille County_Idaho,Pend Oreille County,Idaho,Washington,False,False,,3692.02,3692.02,1.0,1
98,USA,Spokane County_Idaho,Spokane County,Idaho,Washington,False,False,,1787.24,1787.24,1.0,1
99,USA,Stevens County_Washington,Stevens County,Washington,Washington,True,False,,3825.07,3825.07,1.0,1
100,USA,Walla Walla County_Oregon,Walla Walla County,Oregon,Washington,False,False,,139.54,139.54,1.0,1
101,USA,Fremont County_Wyoming,Fremont County,Wyoming,Wyoming,True,False,,11476.76,11476.63,0.99999,1
102,USA,Hot Springs County_Wyoming,Hot Springs County,Wyoming,Wyoming,True,False,,1629.07,1629.02,0.99997,1
103,USA,Lincoln County_Montana,Lincoln County,Montana,Wyoming,False,True,1.0,6929.49,6929.42,0.99999,1
104,USA,Park County_Montana,Park County,Montana,Wyoming,False,True,2.0,15948.65,15948.59,1.0,1
105,USA,Sublette County_Wyoming,Sublette County,Wyoming,Wyoming,True,False,,10994.57,10994.54,1.0,1
106,USA,Sweetwater County_Wyoming,Sweetwater County,Wyoming,Wyoming,True,False,,363.24,363.22,0.99995,1
107,USA,Teton County_Wyoming,Teton County,Wyoming,Wyoming,True,True,1.0,10922.65,10922.65,1.0,1
