number,name,act,act_v16,n_components,driving_label,driving,area_km2,mean_guarded_F,min_guarded_F,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_representativeness,pct_intactness,efg_classes_present,driver_m_soc theta-tail,driver_connectivity spike (top 0.2%),driver_refugia densest (area-matched to the m_soc tail),driver_rare-attainable EFG footprint,driver_rarest-EFG footprint (<= 1% of PU each),pct_adequacy_forced,pct_forced_any_formulation,adequacy_pin,adequacy_pin_class,mean_lat,pct_within_5km_of_PA,pct_in_proposed_IPCA,n_formulations_frequent
,N of Granby Park (50.6°N 119.5°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,111.0,0.9443561434745789,0.8366013169288635,0.9942991733551025,0.3816337585449219,0.9259016513824463,0.47559258341789246,0.6932776570320129,0.10145286470651627,10,0.0,0.0,100.0,100.0,6.306306306306306,,,False,,50.64605712890625,0.0,0.0,12
,S of Wells Gray Park (51.0°N 119.6°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,106.0,0.8952399492263794,0.5490196347236633,0.9881619811058044,0.23429787158966064,0.9079127311706543,0.5647772550582886,0.5695801973342896,0.1258586198091507,6,0.0,0.0,93.39622641509435,7.547169811320755,0.9433962264150944,,,False,,51.04705047607422,0.0,0.0,10
7,S of Tahltan - Sacred Headwaters (Klappan) (56.9°N 129.1°W),Act 2,Act 3 scenario,11,Core-habitat-forward,s1,10699.0,0.5690871477127075,0.10457516461610794,0.9672195911407471,0.6484630107879639,0.32371217012405396,0.6214832067489624,0.6657094955444336,0.8014181852340698,10,1.0935601458080195,0.01869333582577811,69.86634264884569,90.7841854378914,0.009346667912889055,,,False,,56.96648025512695,5.953827460510328,19.76820263576035,2
8,Purcell Wilderness Conservancy Park vicinity (50.3°N 116.5°W),Act 2,Act 3 scenario,11,Core-habitat-forward,s1,8173.0,0.5789480209350586,0.1617647111415863,0.9440656304359436,0.39826977252960205,0.718793511390686,0.6150878071784973,0.8945338726043701,0.4156675934791565,18,2.728496268200171,0.4160039153309678,43.26440719442065,100.0,0.3670622782332069,,,False,,50.611351013183594,20.518781353236264,5.4814633549492235,2
,Boulders-White Clouds vicinity (44.2°N 114.7°W),Act 2,Act 3 scenario,8,Core-habitat-forward,s1,5706.0,0.5398207902908325,0.2549019753932953,0.9690282940864563,0.20806600153446198,0.7749103903770447,0.343741238117218,0.7922936677932739,0.3792552053928375,19,0.0,0.3505082369435682,71.80161233788994,100.0,0.0,,,False,,45.075172424316406,27.041710480196286,0.0,2
13,E of Fishing Branch Wilderness Preserve (66.6°N 134.1°W),Act 2,Act 3 scenario,1,Carbon-forward,s4,4423.0,0.3342306911945343,0.019607843831181526,0.02088150568306446,0.7510614395141602,0.03291020914912224,0.799431562423706,0.5214237570762634,0.6349680423736572,5,98.41736378023965,0.31652724395206877,0.0,92.96857336649333,0.0,,,False,,66.6039810180664,0.0,0.0,2
14,E of Nahanni National Park Reserve Of Canada (61.5°N 121.9°W),Act 2,Act 3 scenario,3,Carbon-forward,s4,3683.0,0.3148936331272125,0.008169935084879398,0.11587046086788177,0.5492919087409973,0.3232544958591461,0.8428768515586853,0.5621200203895569,0.6008123159408569,8,97.01330437143632,0.027151778441487917,0.0,100.0,0.0,,,False,,61.582279205322266,0.0,0.0,2
,E of Nj ‘Iinlii” Jjik (Fishing Branch) Habitat Protection Area (66.9°N 137.7°W),Act 2,Act 3 scenario,2,Carbon-forward,s4,3568.0,0.2990805506706238,0.013071895577013493,0.030810749158263206,0.5305259823799133,0.05511382222175598,0.798152506351471,0.20755833387374878,0.5545377135276794,7,95.85201793721974,0.028026905829596414,0.0,31.50224215246637,0.0,,,False,,66.8336410522461,1.0369955156950672,0.0,2
,E of Nááts’Ihch’Oh National Park Reserve Of Canada (63.9°N 124.6°W),Act 2,Act 3 scenario,5,Carbon-forward,s4,1940.0,0.2558014988899231,0.02124183066189289,0.06754779070615768,0.46785134077072144,0.16619989275932312,0.8000368475914001,0.5350090861320496,0.6819568872451782,7,94.02061855670102,0.0,0.0,73.81443298969073,0.0,,,False,,63.650428771972656,0.0,0.0,2
,NW of Granby Park (49.9°N 118.7°W),Act 2,Act 3 scenario,2,Core-habitat-forward,s1,1520.0,0.5809425711631775,0.15522876381874084,0.9462500214576721,0.34245365858078003,0.9449580907821655,0.5097244381904602,0.8101145029067993,0.11976173520088196,11,0.0,0.0,40.46052631578947,100.0,0.7894736842105263,,,False,,49.83516311645508,41.64473684210526,0.0,3
